iter	Passed	Remaining
0	154	154452
1	155	77683
2	156	52045
3	157	39216
4	158	31523
5	159	26400
6	160	22737
7	161	19985
8	162	17857
9	163	16175
10	164	14792
11	165	13620
12	166	12629
13	167	11780
14	168	11049
15	169	10408
16	170	9842
17	171	9336
18	172	8883
19	172	8475
20	173	8107
21	174	7763
22	175	7444
23	175	7153
24	176	6888
25	177	6649
26	178	6448
27	179	6231
28	180	6028
29	180	5839
30	181	5661
31	181	5495
32	182	5339
33	182	5191
34	183	5053
35	183	4921
36	184	4798
37	184	4680
38	185	4568
39	185	4462
40	186	4361
41	187	4266
42	187	4174
43	188	4088
44	188	4006
45	189	3926
46	189	3849
47	190	3777
48	191	3707
49	191	3640
50	192	3577
51	192	3515
52	193	3454
53	193	3396
54	194	3340
55	194	3286
56	195	3235
57	196	3184
58	196	3135
59	197	3088
60	197	3043
61	198	2999
62	198	2956
63	199	2915
64	199	2875
65	200	2835
66	200	2797
67	201	2757
68	201	2721
69	202	2687
70	202	2653
71	203	2621
72	203	2590
73	204	2559
74	205	2529
75	205	2500
76	206	2472
77	206	2445
78	207	2418
79	207	2391
80	208	2365
81	209	2340
82	209	2315
83	210	2291
84	210	2265
85	211	2242
86	211	2218
87	211	2196
88	212	2174
89	212	2153
90	213	2132
91	214	2112
92	214	2092
93	215	2073
94	215	2054
95	216	2036
96	216	2017
97	217	2000
98	217	1982
99	218	1965
100	219	1949
101	219	1930
102	219	1914
103	220	1898
104	221	1884
105	221	1870
106	222	1855
107	222	1840
108	223	1826
109	223	1811
110	224	1797
111	224	1783
112	225	1769
113	226	1756
114	226	1743
115	226	1729
116	227	1716
117	228	1704
118	228	1691
119	228	1679
120	229	1667
121	230	1655
122	230	1642
123	230	1630
124	231	1623
125	232	1612
126	233	1602
127	233	1590
128	234	1580
129	234	1571
130	235	1562
131	236	1552
132	236	1542
133	237	1532
134	237	1523
135	238	1513
136	238	1504
137	239	1494
138	239	1485
139	240	1476
140	240	1467
141	241	1458
142	241	1449
143	242	1441
144	243	1433
145	243	1425
146	244	1417
147	244	1409
148	245	1401
149	246	1394
150	246	1386
151	247	1378
152	247	1370
153	248	1363
154	248	1357
155	249	1350
156	250	1343
157	250	1336
158	251	1329
159	251	1322
160	252	1315
161	253	1308
162	253	1301
163	254	1295
164	254	1288
165	255	1282
166	255	1275
167	256	1269
168	257	1263
169	257	1257
170	258	1251
171	258	1245
172	259	1239
173	259	1233
174	260	1227
175	260	1221
176	261	1215
177	261	1209
178	262	1204
179	263	1198
180	263	1192
181	264	1187
182	264	1182
183	265	1176
184	265	1171
185	266	1166
186	266	1160
187	267	1155
188	268	1150
189	268	1145
190	269	1139
191	269	1134
192	270	1129
193	270	1124
194	271	1119
195	271	1115
196	272	1110
197	272	1105
198	273	1100
199	273	1095
200	274	1090
201	274	1086
202	275	1081
203	276	1076
204	276	1072
205	277	1068
206	277	1064
207	278	1060
208	279	1056
209	279	1052
210	280	1048
211	280	1043
212	281	1039
213	281	1035
214	282	1031
215	282	1026
216	283	1022
217	284	1018
218	284	1014
219	285	1010
220	285	1006
221	286	1002
222	286	998
223	287	994
224	287	990
225	288	987
226	288	983
227	289	979
228	289	975
229	290	972
230	290	968
231	291	964
232	292	961
233	292	957
234	293	954
235	293	951
236	294	947
237	294	944
238	295	941
239	296	937
240	296	934
241	297	931
242	297	927
243	298	924
244	299	921
245	299	918
246	301	917
247	301	914
248	302	911
249	302	908
250	303	905
251	303	902
252	304	898
253	304	895
254	305	893
255	306	891
256	307	890
257	308	887
258	309	885
259	310	882
260	310	879
261	311	877
262	311	874
263	312	871
264	313	868
265	313	865
266	314	862
267	314	859
268	315	856
269	315	853
270	316	850
271	316	847
272	317	844
273	317	841
274	318	839
275	318	836
276	319	833
277	319	830
278	320	828
279	321	825
280	321	823
281	322	820
282	322	818
283	323	815
284	324	813
285	324	810
286	325	807
287	325	805
288	326	802
289	326	799
290	327	797
291	327	794
292	328	792
293	328	789
294	329	787
295	330	784
296	331	783
297	331	781
298	332	778
299	332	776
300	333	773
301	333	771
302	334	769
303	334	766
304	335	764
305	336	762
306	336	759
307	337	757
308	337	755
309	338	752
310	338	750
311	339	748
312	339	746
313	340	743
314	341	741
315	341	739
316	342	737
317	342	734
318	343	732
319	343	730
320	344	728
321	344	725
322	345	723
323	345	721
324	346	719
325	346	717
326	347	714
327	347	712
328	348	710
329	349	708
330	349	706
331	350	704
332	350	702
333	351	700
334	351	698
335	352	696
336	352	694
337	353	692
338	354	690
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	357	676
346	358	674
347	358	672
348	359	670
349	360	669
350	360	667
351	361	665
352	361	663
353	362	661
354	362	659
355	363	658
356	364	656
357	365	654
358	365	653
359	366	651
360	366	649
361	367	647
362	367	645
363	368	643
364	369	642
365	369	640
366	370	638
367	370	636
368	371	634
369	371	633
370	372	631
371	372	629
372	373	627
373	374	626
374	374	624
375	375	622
376	375	620
377	376	618
378	376	617
379	377	615
380	377	613
381	378	612
382	379	611
383	380	609
384	380	608
385	381	606
386	382	605
387	382	603
388	383	602
389	384	600
390	384	599
391	385	597
392	385	596
393	386	594
394	387	592
395	387	591
396	388	589
397	388	588
398	389	586
399	390	585
400	390	583
401	391	582
402	392	581
403	392	579
404	393	578
405	393	576
406	394	574
407	395	573
408	395	571
409	396	570
410	396	568
411	397	567
412	398	565
413	398	564
414	399	562
415	400	561
416	400	560
417	401	558
418	401	557
419	402	555
420	403	554
421	403	552
422	404	551
423	404	549
424	405	548
425	405	546
426	406	545
427	406	543
428	407	542
429	407	540
430	408	539
431	408	537
432	409	536
433	410	534
434	410	533
435	411	531
436	411	530
437	412	528
438	412	527
439	413	525
440	413	524
441	414	523
442	415	521
443	415	520
444	416	519
445	416	517
446	417	516
447	417	514
448	418	513
449	418	512
450	419	510
451	420	509
452	420	507
453	421	506
454	421	505
455	422	503
456	422	502
457	423	501
458	424	499
459	424	498
460	425	497
461	425	495
462	426	494
463	426	492
464	427	491
465	427	490
466	428	488
467	428	487
468	429	485
469	429	484
470	430	483
471	430	481
472	431	480
473	431	479
474	432	477
475	433	476
476	433	475
477	434	474
478	434	473
479	435	471
480	436	470
481	437	469
482	437	468
483	438	467
484	439	466
485	440	465
486	440	464
487	441	463
488	442	462
489	442	460
490	443	459
491	443	458
492	444	457
493	445	456
494	445	455
495	446	453
496	447	452
497	447	451
498	448	450
499	449	449
500	449	447
501	450	446
502	450	445
503	451	444
504	452	443
505	452	442
506	453	440
507	454	439
508	454	438
509	455	437
510	455	436
511	456	435
512	457	434
513	457	432
514	458	431
515	459	430
516	459	429
517	460	428
518	461	427
519	461	426
520	462	425
521	463	424
522	463	423
523	464	422
524	465	420
525	465	419
526	466	418
527	467	417
528	467	416
529	468	415
530	468	414
531	469	413
532	470	412
533	470	410
534	471	409
535	472	408
536	472	407
537	473	406
538	473	405
539	474	404
540	474	403
541	475	401
542	476	400
543	476	399
544	477	398
545	478	397
546	478	396
547	479	395
548	479	394
549	480	393
550	481	392
551	481	390
552	482	389
553	483	388
554	483	387
555	484	386
556	485	385
557	485	384
558	486	383
559	487	382
560	487	381
561	488	380
562	489	379
563	489	378
564	490	377
565	491	376
566	491	375
567	492	374
568	492	373
569	493	372
570	494	371
571	494	370
572	495	369
573	495	368
574	496	366
575	497	365
576	497	364
577	498	363
578	498	362
579	499	361
580	499	360
581	500	359
582	500	358
583	501	357
584	501	356
585	502	354
586	502	353
587	503	352
588	503	351
589	504	350
590	505	349
591	505	348
592	506	347
593	506	346
594	507	345
595	507	344
596	508	343
597	508	342
598	509	341
599	510	340
600	510	339
601	511	337
602	511	336
603	512	335
604	512	334
605	513	333
606	513	332
607	514	331
608	515	330
609	515	329
610	516	328
611	516	327
612	517	326
613	517	325
614	518	324
615	518	323
616	519	322
617	519	321
618	520	320
619	521	319
620	521	318
621	522	317
622	522	316
623	523	315
624	523	314
625	524	313
626	524	312
627	525	311
628	526	310
629	526	309
630	527	308
631	527	307
632	528	306
633	528	305
634	529	304
635	529	303
636	530	302
637	530	301
638	531	300
639	531	299
640	532	298
641	532	297
642	533	296
643	534	295
644	534	294
645	535	293
646	535	292
647	536	291
648	536	290
649	537	289
650	538	288
651	538	287
652	539	286
653	539	285
654	540	284
655	540	283
656	541	282
657	541	281
658	542	280
659	542	279
660	543	278
661	543	277
662	544	276
663	544	275
664	545	274
665	545	273
666	546	272
667	547	271
668	547	270
669	548	270
670	548	269
671	549	268
672	549	267
673	550	266
674	551	265
675	551	264
676	552	263
677	552	262
678	553	261
679	553	260
680	554	259
681	554	258
682	555	257
683	555	256
684	556	255
685	557	254
686	557	254
687	558	253
688	558	252
689	559	251
690	559	250
691	560	249
692	560	248
693	561	247
694	561	246
695	562	245
696	563	244
697	564	244
698	564	243
699	565	242
